Company_Brand,HeadQuarter,Sector,What_it_does,Amount,Stage,Stage_category,Funding_year,Sector_category
Varthana,Bangalore,Fintech,Offers secured and unsecured loans,150000000.0,Series D,"Series B,C,D&E",2020,unknown
Codeninja,Bangalore,SaaS,AI-powered 'no-code' platform which can generate application development code,0.0,Seed Round,Seed,2020,unknown
MetaMerphoSys,Pune,Insurance technology,Digital insurance platform for businesses,0.0,Pre series A,Pre-seed,2020,unknown
Rooter,Delhi,Gaming,Live sports engagement platform,17000000.0,Pre series A,Pre-seed,2020,Consumer Discretionary
Aker Foods,Pune,Foodtech & Logistics,Ai driven supply chain platform,0.0,Undisclosed,Others,2020,Industrial
Sascan Meditech pvt ltd,Kerala,Healthtech,They are developing technology that can detect early cancerous cells,0.0,Undisclosed,Others,2020,Health Care
Pratilipi,Bangalore,Media,A digital platform that connects readers and writers in various languages,94000000.0,Series C,"Series B,C,D&E",2020,unknown
Biryani By Kilo,Delhi,Food,Online paltform to order biryani,7900000.0,Series B,"Series B,C,D&E",2020,Consumer Discretionary
Consure Medical,Delhi,Healthtech,"Novel platform technologies to manage, diagnose, and treat various GI disorders",4800000.0,Undisclosed,Others,2020,Health Care
Servify,Mumbai,Fintech,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,2500000.0,Undisclosed,Others,2020,unknown
Tessol,Mumbai,Logistics,It provides end to end cold chain logistics solutions,1600000.0,Series A,Series A,2020,Industrial
Remedo,Noida,Healthtech,"It helps doctors engage with patients, improve patient experience",0.0,Pre series A,Pre-seed,2020,Health Care
News Reach,Ahmedabad,Media,"It is a platform that digitalises local newspaper publishers, reporters, stringers by aggregating their content",0.0,Undisclosed,Others,2020,unknown
RoomSoom,Noida,Housing,It provides co-living and student rooms,0.0,Undisclosed,Others,2020,Consumer Discretionary
Classplus,Delhi,Edtech,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",82000000.0,Series B,"Series B,C,D&E",2020,unknown
Medlife,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,155000000.0,Undisclosed,Others,2020,Health Care
Qin1,Noida,Edtech,It is alearning platform for kids in the age group 5 to 14 yrs,0.0,Undisclosed,Others,2020,unknown
MYSUN,Delhi,Tech,Platform for rooftop solar energy solutions,42570000.0,Pre series A,Pre-seed,2020,unknown
ShopX,Bangalore,Ecommerce,B2B retail operating system,14100000.0,Undisclosed,Others,2020,Consumer Discretionary
Expertrons,Mumbai,AI,AI video bot platform for career hacks,0.0,Seed Round,Seed,2020,Information Technology
NewsBytes,Gurugram,Digital Media,News portal,15000000.0,Series A,Series A,2020,unknown
Wagonfly,Bangalore,Fintech,Contactless shopping and delivery experience by using radio frequency to tag retail items,5000000.0,Undisclosed,Others,2020,unknown
Convosight,Hyderabad,Data Analytics,It helps business gain insights from its community on Facebook groups,40000000.0,Pre series A,Pre-seed,2020,Information Technology
Fittr,Pune,Fitness,Fitness Social Network & Consultation Platform,20000000.0,Undisclosed,Others,2020,Consumer Discretionary
AsknBid,Bangalore,Investment Tech,It builds algorithmic investing-based tech products,0.0,Undisclosed,Others,2020,Financials
Bira91,Bangalore,Beverage,Craft beer maker,200000000.0,Series C,"Series B,C,D&E",2020,Consumer Discretionary
Finaureus Technologies,Pune,Fintech,Provides investment management solutions,0.0,Pre series A,Pre-seed,2020,unknown
Daily Ninja,Haryana,Ecommerce,Online Milk Delivery startup,3498000.0,Undisclosed,Others,2020,Consumer Discretionary
Guvi Geek Network Pvt Ltd,Chennai,Edtech,Operates vernacular-language based education,7860000.0,Pre series A,Pre-seed,2020,unknown
LoadShare,Bangalore,Logistics,Provides technology based solutions to SMEs in logistics,20040000.0,Series B,"Series B,C,D&E",2020,Industrial
Vedantu,Bangalore,Edtech,Onine learning platform,68000000.0,Series C,"Series B,C,D&E",2020,unknown
DMI Group,Delhi,Financial Services,Pan-India Credit providing platform,1230000000.0,Undisclosed,Others,2020,Financials
Spintly,Goa,IoT,It is a wireless cloud-based access control system,2480000.0,Pre series A,Pre-seed,2020,unknown
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,0.0,Undisclosed,Others,2020,Consumer Discretionary
Bijak,Gurugram,Agritech,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics",120000000.0,Series A,Series A,2020,unknown
Bugworks,Bangalore,Biopharma,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,75000000.0,Undisclosed,Others,2020,Health Care
DrinkPrime,Bangalore,Fintech,Water purifier subscription service,0.0,Seed Round,Seed,2020,unknown
Yap,Chennai,Fintech,Banking and payment products-focused API platform,45000000.0,Series A,Series A,2020,unknown
UzhavarBumi,Tamil Nadu,Dairy,Provides fresh dairy products,0.0,Undisclosed,Others,2020,unknown
Tattva,Delhi,Beauty & wellness,Sells its organic and beauty products via marketplace,1500000.0,Undisclosed,Others,2020,Consumer Discretionary
Pariksha,Pune,Edtech,Platform for vernacular test-preparation,0.0,Pre series A,Pre-seed,2020,unknown
NoBroker,Bangalore,Real Estate,Online real estate rental startup,300000000.0,Undisclosed,Others,2020,Consumer Discretionary
Box8,Mumbai,Foodtech,Enables to order food online,40000000.0,Undisclosed,Others,2020,Consumer Discretionary
Capital Float,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,150000000.0,Undisclosed,Others,2020,unknown
ITILITE,Bangalore,Travel & SaaS,Platform for business travel,130000000.0,Series B,"Series B,C,D&E",2020,Consumer Discretionary
Aavenir,Ahmedabad,SaaS,Source-to-Pay Software,20000000.0,Seed Round,Seed,2020,unknown
Yellow Messenger,Bangalore,AI,It offers conversational chatbots,200000000.0,Series B,"Series B,C,D&E",2020,Information Technology
Ewar,Bangalore,Gaming,E-sports and real-time gaming startup,2000000.0,Undisclosed,Others,2020,Consumer Discretionary
Wellthy Therapeutics,Bangalore,Healthtech,It offers a digital therapeutics service,40000000.0,Pre series A,Pre-seed,2020,Health Care
Power Gummies,Delhi,Health,Offers health supplements related gummies,0.0,Undisclosed,Others,2020,Health Care
Locale ai,Bangalore,Location Analytics,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,0.0,Undisclosed,Others,2020,Information Technology
FarEye,Delhi,Logistics,"It enables businesses to execute, track, predict and oprimize the movements of goods",245000000.0,Series D,"Series B,C,D&E",2020,Industrial
BankBazaar,Chennai,Fintech,Online marketplace that gives customers instant customised offers on loans and credit cards,38000000.0,Series D,"Series B,C,D&E",2020,unknown
Porter,Mumbai,Logistics,Logistics and fleet management,183700000.0,Series D,"Series B,C,D&E",2020,Industrial
SugarBox,Mumbai,Tech,Hyperlocal data distribution platform,685250000.0,Undisclosed,Others,2020,unknown
Capital Float,Bangalore,Fintech,Online platform that provides working capital finance to SMEs,48000000.0,Series F,,2020,unknown
Big Basket,Bangalore,E store,Online grocery store,600000000.0,Undisclosed,Others,2020,unknown
Vedantu,Bangalore,Edtech,Onine learning platform,125000000.0,Series C,"Series B,C,D&E",2020,unknown
Plop,Mumbai,Tech,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,0.0,Angel Round,Others,2020,unknown
Lido Learning,Mumbai,Edtech,Online teaching service,75000000.0,Series B,"Series B,C,D&E",2020,unknown
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,238500000.0,Undisclosed,Others,2020,unknown
Swiggy,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,430000000.0,Series A,Series A,2020,Consumer Discretionary
Zomato,Gurugram,Foodtech,Online food delivery and restaurant discovery platform,50000000.0,Undisclosed,Others,2020,Consumer Discretionary
JusPay,Bangalore,Fintech,Online payment solutions,216000000.0,Series B,"Series B,C,D&E",2020,unknown
Fingpay,Mumbai,Fintech,Provides payment solutions,35000000.0,Series A,Series A,2020,unknown
Recko,Bangalore,SaaS,The platform enables AI-powered reconciliation of digital transactions,60000000.0,Series A,Series A,2020,unknown
Furlenco,Bangalore,Ecommerce,Furniture rental startup,100000000.0,Undisclosed,Others,2020,Consumer Discretionary
Mera Cashier,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,1500000.0,Undisclosed,Others,2020,unknown
Kitchens Centre,Delhi,Fintech,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,5000000.0,Seed Round,Seed,2020,unknown
Camp K12,Gurugram,Edtech,It connects students with tutors online,40000000.0,Seed Round,Seed,2020,unknown
MedGenome,Bangalore,Healthtech,Genetic diagnostic testing company,550000000.0,Series D,"Series B,C,D&E",2020,Health Care
Ergos,Bangalore,Agritech,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,45980000.0,Undisclosed,Others,2020,unknown
Nykaa,Mumbai,Ecommerce,Deals in cosmetic and wellness products,131370000.0,Undisclosed,Others,2020,Consumer Discretionary
Samadhan,Delhi,Insurance,They help find solutions to insurance related issues,0.0,Seed Round,Seed,2020,unknown
SaScan,Bangalore,Healthcare,Cancer diagnostics startup,0.0,Undisclosed,Others,2020,Health Care
Lido Learning,Mumbai,Edtech,Online teaching service,30000000.0,Undisclosed,Others,2020,unknown
CureFit,Bangalore,Health and Fitness,"Integrated platform for food, fitness and meditation.",1150000000.0,Series D,"Series B,C,D&E",2020,Consumer Discretionary
Nimesa,Bangalore,SaaS,Cloud data managemnt solutions enterprise,0.0,Undisclosed,Others,2020,unknown
Design X,Noida,IoT,Builds IoT based products,2000000.0,Seed Round,Seed,2020,unknown
Driftly Electric,Bangalore,Automobile,Electric vehicle startup,0.0,Undisclosed,Others,2020,Consumer Discretionary
Imstrong,Bangalore,Fitness,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,4000000.0,Seed Round,Seed,2020,Consumer Discretionary
Craftsvilla,Mumbai,Marketplace,Online marketplace for ethnic wear,39000000.0,Undisclosed,Others,2020,Consumer Discretionary
Rupifi,Bangalore,Fintech,Offers financial products for SMEs,0.0,Pre seed round,Pre-seed,2020,unknown
SnackAmor,Mumbai,Food,It offers various healthy snacks,0.0,Seed Round,Seed,2020,Consumer Discretionary
Zealthy,Bangalore,Healthtech,"It connects women to healthproviders for specialities like infertility, maternity etc.,",0.0,Seed Round,Seed,2020,Health Care
QTalk,Bangalore,Technology,Smart Phone Dialer,16000000.0,Seed Round,Seed,2020,unknown
Shadez,Mumbai,Interior & decor,Paint Company,1000000.0,Seed Round,Seed,2020,Consumer Discretionary
Excess2Sell,Mumbai,Ecommerce,B2B Marketplace for Overstock & Surplus Inventory,10000000.0,Undisclosed,Others,2020,Consumer Discretionary
Stanplus,Hyderabad,Healthtech,Ambulance service,15000000.0,Pre series A,Pre-seed,2020,Health Care
Pitstop,Bangalore,Automobile,Doorstep car service,25000000.0,Series A,Series A,2020,Consumer Discretionary
Univariety,Hyderabad,Edtech,Online marketplace that provides career counselling and college guidance,11000000.0,Undisclosed,Others,2020,unknown
Peel Works,Mumbai,SaaS,E-commerce for corner/retail stores.,0.0,"Series C, D","Series B,C,D&E",2020,unknown
CoreStack,Chennai,Technology,Enterprise cloud governance technology startup,85000000.0,Series A,Series A,2020,unknown
Vivriti Capital,Chennai,Fintech,Digital lending startup,500000000.0,Series B,"Series B,C,D&E",2020,unknown
Agnikul,Chennai,Spacetech,"It designs, fabricates, tests and launch orbital class launch vehicles",31480000.0,Pre series A,Pre-seed,2020,Information Technology
Khatabook,Bangalore,Fintech,It helps SMEs to maintain their accounts and ledger online.,0.0,Undisclosed,Others,2020,unknown
ZunRoof,Gurugram,Cleantech,"It specialises in solar rooftop design, installation, and management using technology",30000000.0,Series A,Series A,2020,Information Technology
OM Bhakti,Bangalore,FMCG,A puja cotton-wicks manufacturing startup,0.0,Seed Round,Seed,2020,Consumer Discretionary
Lal10,Uttar Pradesh,B2B,It helps Indian artisans and SMEs reach out to global retailers,11000000.0,Undisclosed,Others,2020,unknown
Anaxee Digital Runner,Indore,Tech,A tech-enabled ID verification and data collection startup,0.0,Undisclosed,Others,2020,unknown
CollegeKhabri,Bhopal,Edtech,Platform is an end-to-end college and career counselling platform for students,0.0,Undisclosed,Others,2020,unknown
Ola Electric,Bangalore,eMobility,Electric vehicle,10000000.0,Undisclosed,Others,2020,Consumer Discretionary
Multi Living,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",60000000.0,Undisclosed,Others,2020,Consumer Discretionary
FamPay,Bangalore,Fintech,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",47000000.0,Seed Round,Seed,2020,unknown
UnboxRobotics Labs,Bangalore,Automation tech,Automated flexible parcel sorting solutions for logistics providers,5000000.0,Seed Round,Seed,2020,Information Technology
Karbon Card,Bangalore,Fintech,Specialisde corporate cards for startups,20000000.0,Seed Round,Seed,2020,unknown
Airmeet,Bangalore,Media & Networking,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",30000000.0,Undisclosed,Others,2020,Consumer Discretionary
Innerchef,Gurgaon,Foodtech,Cloud kitchen platform,10000000.0,Undisclosed,Others,2020,Consumer Discretionary
Epigamia,Mumbai,FMCG,Flavoured and greek yoghurt brand,0.0,Series C,"Series B,C,D&E",2020,Consumer Discretionary
StyleNook,Mumbai,Ecommerce,Marketplace for fashionable apparel,0.0,Undisclosed,Others,2020,Consumer Discretionary
Callido Learning,Mumbai,Edtech,Provides a structured educational approach to critical thinking and problem solving skills,0.0,Undisclosed,Others,2020,unknown
Soxytoes,Delhi,Ecommerce,Online store to buy various types of socks including funky and colorful socks,0.0,Undisclosed,Others,2020,Consumer Discretionary
F5,Delhi,E-market,Retail Aggregator,0.0,Seed Round,Seed,2020,Consumer Discretionary
Paper Boat,Bangalore,Food & Beverages,Ecommerce platform for beverages and snacks,40495000.0,Undisclosed,Others,2020,Consumer Discretionary
Strata,Bangalore,Proptech,Real estate investment platform,15000000.0,Seed Round,Seed,2020,unknown
Salesken,Bangalore,AI & Data science,Provides sales professionals with intelligence on various aspects of the sales pitch,80000000.0,Series A,Series A,2020,Information Technology
Arya,Noida,Agritech,Provides post-harvest services across the agricultural value chain,60000000.0,Series B,"Series B,C,D&E",2020,unknown
Leap Finance,Bangalore,Fintech,Provides education loans to students based on the student’s future income,55000000.0,Undisclosed,Others,2020,unknown
Sleepy Owl,Delhi,Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.",0.0,Undisclosed,Others,2020,Consumer Discretionary
Tricog,Bangalore,Healthtech,Provides virtual cardiology services through its AI-powered healthcare platforms,105000000.0,Series B,"Series B,C,D&E",2020,Health Care
GogoBus,Delhi,Travel tech,Inter-City Mobility Startup,0.0,Undisclosed,Others,2020,Consumer Discretionary
Trell,Bangalore,Social e-commerce,Allows users to share their travel experiences,40000000.0,Pre series A,Pre-seed,2020,Consumer Discretionary
Spaciya Consultants,Noida,Real Estate,Real estate consultancy firms,5000000.0,Pre series A,Pre-seed,2020,Consumer Discretionary
Bounce,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,65000000.0,Undisclosed,Others,2020,Consumer Discretionary
Chqbook,Gurugram,Fintech,"Marketplace for small business owners, offering them products around lending, credit cards etc",50000000.0,Series A,Series A,2020,unknown
SMEcorner,Mumbai,Fintech,Financial lending firm to SMEs,300000000.0,Series B,"Series B,C,D&E",2020,unknown
Oda Class,Bangalore,Edtech,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni",0.0,Pre series A,Pre-seed,2020,unknown
Spinny,Haryana,E-tail,Used car retailing platform,437000000.0,Series B,"Series B,C,D&E",2020,unknown
goStops,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,0.0,Undisclosed,Others,2020,unknown
Umeed Housing,Haryana,Fintech,Housing finance company,230000000.0,Series D,"Series B,C,D&E",2020,unknown
Vogo,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,200000000.0,Series C,"Series B,C,D&E",2020,unknown
Flick Stree,Mumbai,AI & Media,Artificial intelligence-based video publishing network,30000000.0,Series A,Series A,2020,Information Technology
Qure ai,Mumbai,Healthtech,Provides interpretations of radiology scans,160000000.0,Undisclosed,Others,2020,Health Care
MinionLabs,Bangalore,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,0.0,Undisclosed,Others,2020,Information Technology
Josh Talks,Haryana,Media,Community of young individuals providing a platform to showcase their stories,15000000.0,Pre series A,Pre-seed,2020,unknown
PhoneParLoan,Delhi,Fintech,Provides easy loans,0.0,Undisclosed,Others,2020,unknown
RailYatri,Noida,Travel,A complete Indian railways app,138000000.0,Undisclosed,Others,2020,Consumer Discretionary
AjnaLens,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",15000000.0,Pre series A,Pre-seed,2020,unknown
Pepper,Mumbai,Content Marktplace,End to end content creation platform,3069000.0,Seed funding,Seed,2020,unknown
Rupeek,Bangalore,Fintech,An asset backed online lending platform,300000000.0,Undisclosed,Others,2020,unknown
iMerit,Kolkata,IT,Turns information into data that is usable for machine learning processes,200000000.0,Series B,"Series B,C,D&E",2020,Information Technology
BharatPe,Delhi,Fintech,Digital payments platform,750000000.0,Series C,"Series B,C,D&E",2020,unknown
Near Store,Mumbai,Ecommerce,Enables a shop to create an online presence,3000000.0,Seed Round,Seed,2020,Consumer Discretionary
ElecTorq,Delhi,Automobile,Electric vehicle startup,0.0,Undisclosed,Others,2020,Consumer Discretionary
Prayaan Capital,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",12000000.0,Seed Round,Seed,2020,unknown
Sanfe,Delhi,Hygiene,Women health care and wellness product,11000000.0,Pre series A,Pre-seed,2020,unknown
Go Desi,Delhi,Foodtech,Provides traditional delicacies,6273000.0,Seed Round,Seed,2020,Consumer Discretionary
Swiggy,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,1130000000.0,Series A,Series A,2020,Consumer Discretionary
Whatfix,Banglore,SaaS,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",320000000.0,Series C,"Series B,C,D&E",2020,unknown
Unacademy,Bangalore,Edtech,Platform that offers online education in India,1100000000.0,Series E,"Series B,C,D&E",2020,unknown
Zvesta,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,55000000.0,Undisclosed,Others,2020,unknown
Dunzo,Bangalore,Logistics,India-based hyperlocal delivery startup,110000000.0,Undisclosed,Others,2020,Industrial
Digit Insurance,Bangalore,Insurtech,General Insurance Company,3400000.0,Undisclosed,Others,2020,unknown
Yolo,Gurugram,Transport,Intercity transportation,6000000.0,Seed funding,Seed,2020,unknown
MaxWholesale,Delhi,Ecommerce,B2B ecommerce platform for kirana stores,30000000.0,Series A,Series A,2020,Consumer Discretionary
Genius Corner,Noida,Edtech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,2500000.0,Undisclosed,Others,2020,unknown
PlanetSpark,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,4485000.0,Undisclosed,Others,2020,unknown
CamCom,Bangalore,AI & Deep learning,AI automation platform for enterprise quality control,0.0,Undisclosed,Others,2020,Information Technology
Simsim,Bangalore,Social Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,80000000.0,Series B,"Series B,C,D&E",2020,Consumer Discretionary
Shuttl,Delhi,Transport,App based bus aggregator serice,79757000.0,Series C,"Series B,C,D&E",2020,unknown
HooLiv,Delhi,Housing & Rentals,Student Co-living startup,0.0,Undisclosed,Others,2020,Consumer Discretionary
ClassMonitor,Indore,Edtech,The learning platform that blends curriculum-based activities for children,0.0,Undisclosed,Others,2020,unknown
Friyey,Pune,Co-working,Co working space startup,0.0,Undisclosed,Others,2020,Consumer Discretionary
Oga,Bangalore,Fitness,Provides interactive fitness experience to people across the world,3300000.0,Undisclosed,Others,2020,Consumer Discretionary
Big Basket,Bangalore,Estore,Online grocery store,35000000.0,Undisclosed,Others,2020,Consumer Discretionary
CYFIRMA,Bangalore,SaaS,Offer cybersecurity services,0.0,Series A,Series A,2020,unknown
Innoviti,Bangalore,Fintech,Digital payments solutions company,50000000.0,Undisclosed,Others,2020,unknown
Paytm money,Bangalore,Fintech,Wealth Management,56000000.0,Undisclosed,Others,2020,unknown
Vedantu,Bangalore,Edtech,Onine learning platform,240000000.0,Series C,"Series B,C,D&E",2020,unknown
Yap,Chennai,Fintech,Banking and payment products-focused API platform,14020000.0,Undisclosed,Others,2020,unknown
Clover,Bangalore,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,55000000.0,Series A,Series A,2020,unknown
CodingNinjas,Delhi,Edtech,Online learning platform,52000000.0,Series A,Series A,2020,unknown
Furlenco,Bangalore,Ecommerce,Furniture rental startup,22000000.0,Series C,"Series B,C,D&E",2020,Consumer Discretionary
Brick&Bolt,Bangalore,Fintech,Operates in the residential construction space,15000000.0,Pre series A,Pre-seed,2020,unknown
MoEngage,Bangalore,Marketing,Customer analytics and cross-channel engagement platform,250000000.0,Series C,"Series B,C,D&E",2020,Consumer Discretionary
PetPooja,Ahmedabad,SaaS,Restaurant management software provider,20000000.0,Undisclosed,Others,2020,unknown
Pepperfry,Mumbai,E-market,Online home furniture marketplace,400000000.0,Series F,,2020,Consumer Discretionary
FirstCry,Pune,E-market,Baby products marketplace,2960000000.0,Series E,"Series B,C,D&E",2020,Consumer Discretionary
Waycool,Chennai,Agritech,Food development and distribution services,320000000.0,Series C,"Series B,C,D&E",2020,unknown
Qyuki,Mumbai,Media,Multi-channel broadcast network,35000000.0,Undisclosed,Others,2020,unknown
Leap India,Coimbatore,Agritech,Agricultural warehousing and logistics company,300000000.0,Series B,"Series B,C,D&E",2020,unknown
Picxy,Hyderabad,Media,Stock photo industry,2500000.0,Undisclosed,Others,2020,unknown
Krimanshi,Jodhpur,Agritech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,200000.0,Undisclosed,Others,2020,unknown
NEETprep,Delhi,Edtech,Provides crash course for NEET preparation,0.0,Undisclosed,Others,2020,unknown
Dot Pvt. Ltd,Gurugram,Fintech,It provides digital transformation and commerce solutions to brick and mortar outlets,80000000.0,Seed Round,Seed,2020,unknown
Kuku FM,Mumbai,Media,A podcast platform,55000000.0,Series A,Series A,2020,unknown
SuperMoney,Mumbai,Fintech,Provides financial tools for effective business making,10000000.0,Pre series A,Pre-seed,2020,unknown
AlphaVector,Bangalore,E tailor,It sells modern age bicycles named FROG,0.0,Undisclosed,Others,2020,Consumer Discretionary
Fox Capital,Jaipur,Fintech,Digital lending startup,25000000.0,Undisclosed,Others,2020,unknown
Tribe Theory,Bangalore,Accomodation,An entrepreneur-focused hostel chain present in multiple locations across the world.,35000000.0,Undisclosed,Others,2020,unknown
Embibe,Mumbai,Edtech,It provides AI-based data analytics to personalise learning outcomes,126183000.0,Undisclosed,Others,2020,unknown
Seal Professional,Bangalore,Edtech,Trains students in managemnt and leadership skills and also helps in placement,0.0,Pre series A,Pre-seed,2020,unknown
Sprinng Foods,Mumbai,Food,Provides Gluten-free food,0.0,Undisclosed,Others,2020,Consumer Discretionary
1MG,Gurugram,Healthtech,Online pharmacy,99000000.0,Undisclosed,Others,2020,Health Care
Aagey,Bangalore,Fintech,Provides financial assistance to MSMEs,0.0,Undisclosed,Others,2020,unknown
Doubtnut,Gurugram,Edtech,Multi-lingual digital solutions platform for students,150000000.0,Series A,Series A,2020,unknown
AdonMo,Bangalore,Ad-tech,It is an online and outdoor advertising company,30000000.0,Undisclosed,Others,2020,Consumer Discretionary
BharatPe,Delhi,Fintech,Digital payments platform,1000000000.0,Undisclosed,Others,2020,unknown
Kisan Network,Gurugram,Agritech,Integrated supply chain for farmers to sell their produce directly to buyers,30000000.0,Seed Round,Seed,2020,unknown
Vogo,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,350000000.0,Series C,"Series B,C,D&E",2020,unknown
Yolo,Gurugram,Transport,Intercity transportation startup,6000000.0,Seed Round,Seed,2020,unknown
Unotech,Mumbai,SaaS,It develops fully-customisable open source software,20000000.0,Undisclosed,Others,2020,unknown
Zetwerk,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,22000000.0,Undisclosed,Others,2020,Consumer Discretionary
CureSkin,Bangalore,Healthtech,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,5000000.0,Undisclosed,Others,2020,Health Care
WizKlub,Bangalore,Edtech,Helps students solve problems at complex level,9825300.0,Seed Funding,Seed,2020,unknown
Interviewbit,Pune,Edtech,Platform that provides coding and interview preparation course by industry professionals from tech companies,2000000000.0,Series A,Series A,2020,unknown
Uniplatform Tech,Delhi,SaaS,Runs real estate SaaS platform MultiplyMyLeads.com.,0.0,Undisclosed,Others,2020,unknown
INdwealth,Gurugram,Fintech,An Artificial Intelligence and Machine learning based wealth management platform,120000000.0,Series C,"Series B,C,D&E",2020,unknown
Bizongo,Mumbai,Marketplace,A B2B marketplace for packaging materials,300000000.0,Series C,"Series B,C,D&E",2020,Consumer Discretionary
AppsFlyer,Bangalore,SaaS,Mobile marketing analytics and attribution platform,2100000000.0,Series D,"Series B,C,D&E",2020,unknown
Digit Insurance,Bangalore,Insurtech,General Insurance Company,840000000.0,Undisclosed,Others,2020,unknown
Livspace,Bangalore,Interior Design,It offers end-to-end home design experience for homeowners and home designers,600000000.0,Series D,"Series B,C,D&E",2020,Consumer Discretionary
GetVantage,Mumbai,Fintech,Revenue based finance provider,0.0,Seed Round,Seed,2020,unknown
Konfinity,Noida,Edtech,Provides online coding courses,0.0,Undisclosed,Others,2020,unknown
Pine Labs,Noida,Fintech,Retail payment and hardware company,0.0,Undisclosed,Others,2020,unknown
Instoried,Delhi,SaaS,Augmented writing platform which improves customer interest and engagement.,0.0,Undisclosed,Others,2020,unknown
Nupay,Haryana,Neo-banking,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts",0.0,Undisclosed,Others,2020,Consumer Discretionary
Samosa Singh,Bangalore,Food,Offers hygienic Indian Snacks,27000000.0,Series A,Series A,2020,Consumer Discretionary
Crysta,Delhi,Healthtech,Offers diagnostic and screening services with regular counselling and clinical data management,14034000.0,Pre Series A,Pre-seed,2020,Health Care
Eupheus Learning,New Delhi,Edtech,"Provides technology-led, subscription-based learning solutions to schools",43000000.0,Series A,Series A,2020,unknown
Bounce,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,1050000000.0,Series D,"Series B,C,D&E",2020,Consumer Discretionary
Goodmylk,Bangalore,Dairy,Provides Vegan dairy products,4000000.0,Seed Round,Seed,2020,unknown
Tea Trunk,Goa,Beverage,Global premium tea brand,2200000.0,Undisclosed,Others,2020,Consumer Discretionary
Zoomcar,Bangalore,Transport & Rentals,A car rental service platform,300000000.0,Series D,"Series B,C,D&E",2020,Consumer Discretionary
Mera Cashier,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,2500000.0,Seed Round,Seed,2020,unknown
Zimyo,Gurugram,HR tech,Automates everyday HR processes with integrated solutions,0.0,Undisclosed,Others,2020,unknown
Sabse Sasta Dukaan,Kolkata,Pharmaceutical,Online pharmacy dealing in medicines,0.0,Undisclosed,Others,2020,Health Care
Fitphilia,Mumbai,Healthtech,Provides IoT-enabled treadmill,0.0,Undisclosed,Others,2020,Health Care
Medicus,Mumbai,Healthtech,AI-based platform that explains and interprets blood tests and medical reports,127000.0,Undisclosed,Others,2020,Health Care
Monech,Mumbai,Fintech,Automated platform which will help users to take their financial decisions,127000.0,Seed Round,Seed,2020,unknown
Dealberg,Bangalore,B2B marketplace,Deals in office supplies,0.0,Undisclosed,Others,2020,Consumer Discretionary
Extra Edge,Pune,Edtech,Admission Marketing Automation software for the education industry,7000000.0,Pre Series A,Pre-seed,2020,unknown
